Issue ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
42198,Internationalization,code,stefan.baltzer,CLOSED,FIXED,request for cyrillic alphabet as numbering type,2013/8/7 15:01
37447,Impress,ui,wolframgarten,CLOSED,FIXED,no 'Create objects with Attributes' in Impress,2005/1/5 10:25
66090,Internationalization,ui,naoyuki.ishimura,CLOSED,FIXED,JA UI: mistranslation of statement in "About OpenOffice.org",2013/8/7 15:01
25557,Internationalization,ui,ian.mcdonnell,CLOSED,FIXED,DE: wrong spelling "zwichen" in tooltip. (keyID 325041),2013/8/7 15:00
79428,Native-Lang,ja,maho.nakata,CLOSED,FIXED,Add 2.2.1 download links to website,2012/2/5 20:38
57056,Internationalization,ui,petr.dudacek,CLOSED,FIXED,"ES, Draw: 3 items in Edit menu share 'p' as keyboard shortcut",2013/8/7 15:03
24082,Internationalization,code,peter.junge,CLOSED,FIXED,Problem with date 25/4/3 (where?) 2004-03-28 (EU) and probably soon (2004-04-03) with 2004-04-04 (US),2013/8/7 15:00
36244,Impress,ui,christian.guenther,CLOSED,FIXED,custom Animation: Sound button is missing,2005/2/4 16:15
52791,Installation,code,olaf-openoffice,CLOSED,FIXED,rpm dependencies incorrect (installing only required packages yields non-working OOo),2006/5/9 11:51
46282,Impress,ui,wolframgarten,CLOSED,FIXED,Showstopper:Task pane: master pages empty,2005/4/25 16:14
40888,Impress,open-import,christian.guenther,CLOSED,FIXED,clockWipe/clockwiseTwelve option reverse does not work correctly,2005/4/21 13:36
49476,Internationalization,code,stefan.baltzer,CLOSED,FIXED,Adding support for using Khmer letter in outlines,2013/8/7 15:03
97756,Infrastructure,Website general issues,issues,CLOSED,FIXED,OpenOffice.org wiki seems to be down,2009/1/8 19:22
32285,Impress,code,christian.guenther,CLOSED,FIXED,Add media support  for presentation mode,2005/3/11 16:50
62712,Impress,code,fridrich.strba,CLOSED,FIXED,build breaks because of wrong includes in canvas/source/cairo/cairo_cairo.cxx,2007/2/5 15:55
44335,Installation,code,olaf-openoffice,CLOSED,FIXED,failed to install suse-menus on NLD,2005/4/12 13:15
19273,Installation,code,olaf-openoffice,CLOSED,FIXED,Integrate user installation with responsefile in Office startup,2003/12/4 9:19
41514,Installation,ui,olaf-openoffice,CLOSED,FIXED,Incorrect german in dialog,2005/2/9 14:24
47360,Impress,code,wolframgarten,CLOSED,FIXED,OpenCircle Wordarts: only the first paragraph is displayed correctly,2005/10/20 13:59
34017,Infrastructure,_openoffice.org CVS (obsolete),non-migrated,CLOSED,FIXED,Access to the distribution project webpages for modification,2004/11/29 19:37
6125,Infrastructure,_openoffice.org CVS (obsolete),non-migrated,CLOSED,FIXED,cvsup service is not running through tunnel,2003/12/6 14:52
6390,Installation,ui,olaf-openoffice,CLOSED,FIXED,Win32: About support (System control: Software),2003/9/8 16:53
39135,Impress,ui,christian.guenther,CLOSED,FIXED,Interaction for shapes in slide show not supported,2005/4/25 19:26
51493,Infrastructure,_openoffice.org CVS (obsolete),markomlm,CLOSED,FIXED,CVS Access needed for /www,2005/7/25 22:35
60482,Installation,code,jens-heiner.rechtien,CLOSED,FIXED,Re-activate database test in automatic smoketest,2006/1/27 23:06
31502,Internationalization,code,ulf.stroehler,CLOSED,FIXED,Patch for VCL.xcu. Khmer and Lao fonts,2013/8/7 15:00
70024,Internationalization,ui,pavel,CLOSED,FIXED,Slovenian labels.ini,2013/8/7 15:02
10497,Infrastructure,Mailing lists,non-migrated,RESOLVED,FIXED,wrong message number in mailing list archives,2009/1/23 8:32
115529,Infrastructure,Website general issues,issues,CLOSED,FIXED,German translation of the English "Welcome - Credits" webpage,2010/11/12 14:14
56607,Math,ui,stefan.baltzer,CLOSED,FIXED,Parentheses have wrong size,2013/8/7 14:55
28917,Infrastructure,Website general issues,suporte,CLOSED,FIXED,The webpage for the Brazilian project is wrong in the main page,2012/1/29 22:13
36260,Impress,ui,christian.guenther,CLOSED,FIXED,Custom animation: headings should be bold,2005/1/31 14:56
46991,Infrastructure,Website general issues,jeanweber,CLOSED,FIXED,Cannot access SSH/CVS using PuTTY and WinCVS,2008/5/17 23:39
63589,Internationalization,helpcontent,petr.dudacek,CLOSED,FIXED,[DE] "Stylist" and wrong header in Germanophone help in Writer under "Textfluss",2013/8/7 15:02
38649,Impress,ui,wolframgarten,CLOSED,FIXED,Wrong effects in ppt document,2005/3/30 14:34
54616,Impress,editing,wolframgarten,CLOSED,FIXED,Cannot paste objets into the master slide,2006/5/11 14:08
94193,Impress,viewing,wolframgarten,CLOSED,FIXED,IMPRESS opens more complicated file slowly and with mistakes,2009/7/17 8:40
34661,Impress,ui,wolframgarten,CLOSED,FIXED,Obsolete menu entry edit/layer in impress,2004/11/25 14:58
61938,Internationalization,code,stefan.baltzer,CLOSED,FIXED,Support Hungarian letters which consist of multiple characters in Writer index,2013/8/7 15:01
44784,Impress,ui,wolframgarten,CLOSED,FIXED,State of slide browser should be remembered,2005/3/30 13:17
11972,Infrastructure,Mailing lists,non-migrated,RESOLVED,FIXED,Archives of mailing lists and charsets? (wrt to Subject),2009/1/19 10:21
57116,Infrastructure,Website general issues,lsuarezpotts,CLOSED,FIXED,stats are not updated,2008/5/18 0:06
53210,Impress,code,christian.guenther,CLOSED,FIXED,assertion: :TransitionFactory::createSlideTransition(): Unknown type/subtype combination,2005/11/24 11:27
33176,Impress,ui,christian.guenther,CLOSED,FIXED,lines on graphics: some bugs when importing grphics with lines from PPT,2004/12/2 12:18
43395,Internationalization,ui,stefan.baltzer,CLOSED,FIXED,Search and Replace confuses dotless i and dotted i with "match case" unchecked,2013/8/7 15:00
11592,Installation,ui,nesshof,CLOSED,FIXED,provide localized readme for OOO1.1,2003/9/8 16:53
36860,Internationalization,code,oc,CLOSED,FIXED,gl_ES locale data contains 8-bit characters not encoded in UTF-8,2013/8/7 15:00
51536,Impress,ui,christian.guenther,CLOSED,FIXED,Shortcut for navigator is different to spec.,2005/7/19 14:52
60918,Internationalization,helpcontent,petr.dudacek,CLOSED,FIXED,[DE] Online-help: Wrong description for insert graphics,2013/8/7 15:01
430,Infrastructure,_openoffice.org source browsing (obsolete),non-migrated,CLOSED,FIXED,Annotate from CVS Web Frontend doesn't work,2007/10/11 3:45
37354,Impress,ui,christian.guenther,CLOSED,FIXED,insert slide in Layout task pane doesn't work.,2005/4/1 15:24
49998,Internationalization,code,oc,CLOSED,FIXED,Adding support for using Nepali native numbers,2013/8/7 15:00
23690,Infrastructure,Website general issues,non-migrated,CLOSED,FIXED,Website displays in Chinese in IE,2008/5/17 23:24
20433,Infrastructure,Mailing lists,non-migrated,CLOSED,FIXED,allcvs list not working,2004/8/4 1:35
28277,Installation,code,michael.cziebalski,CLOSED,FIXED,substitute for installation custom regactivex,2004/6/30 12:36
47031,Impress,editing,wolframgarten,CLOSED,FIXED,Cannot select text for custom animation,2005/4/20 13:30
